Prof,RHOB,DT
4178.8232,2.6173,72.2487
4178.9756,2.6111,71.0986
4179.128,2.6014,69.311
4179.2804,2.5956,67.6256
4179.4328,2.6033,66.2355
4179.5852,2.6194,64.9992
4179.7376,2.6393,63.921
4179.89,2.656,63.0781
4180.0424,2.658,62.4312
4180.1948,2.6516,61.7305
4180.3472,2.6454,60.7757
4180.4996,2.6416,59.9732
4180.652,2.6446,60.3123
4180.8044,2.6523,62.5304
4180.9568,2.6603,66.2542
4181.1092,2.6661,69.9582
4181.2616,2.6638,72.1374
4181.414,2.6535,72.4439
4181.5664,2.6374,71.6165
4181.7188,2.6182,70.6257
4181.8712,2.6037,69.9858
4182.0236,2.5957,69.4504
4182.176,2.5962,68.6947
4182.3284,2.6017,67.8627
4182.4808,2.5986,67.0914
4182.6332,2.587,66.4713
4182.7856,2.5749,66.4104
4182.938,2.5639,67.1683
4183.0904,2.5615,68.3293
4183.2428,2.5682,69.2849
4183.3952,2.5764,69.7263
4183.5476,2.586,69.446
4183.7,2.595,68.6112
4183.8524,2.6023,67.8157
4184.0048,2.6081,67.187
4184.1572,2.612,66.4426
4184.3096,2.6168,65.7671
4184.462,2.6231,65.6601
4184.6144,2.6299,66.2552
4184.7668,2.6361,67.0256
4184.9192,2.6395,67.0042
4185.0716,2.6382,65.745
4185.224,2.635,63.969
4185.3764,2.6304,62.7394
4185.5288,2.6323,62.6264
4185.6812,2.6456,63.8034
4185.8336,2.658,65.8127
4185.986,2.6676,67.6847
4186.1384,2.6683,68.8184
4186.2908,2.6509,68.6499
4186.4432,2.6222,66.8789
4186.5956,2.574,64.6889
4186.748,2.5617,63.2982
4186.9004,2.6208,62.6285
4187.0528,2.6589,62.3746
4187.2052,2.6589,62.2956
4187.3576,2.6576,62.3935
4187.51,2.6536,63.1932
4187.6624,2.6476,64.4406
4187.8148,2.6382,64.7615
4187.9672,2.6293,63.3481
4188.1196,2.6224,60.6672
4188.272,2.6224,58.1013
4188.4244,2.6325,57.2759
4188.5768,2.6362,58.365
4188.7292,2.6311,59.9511
4188.8816,2.6285,61.1471
4189.034,2.6305,61.5302
4189.1864,2.6397,60.3463
4189.3388,2.6577,58.4378
4189.4912,2.6676,57.4748
4189.6436,2.6658,57.7311
4189.796,2.6593,59.8737
4189.9484,2.6478,64.2636
4190.1008,2.6417,68.8311
4190.2532,2.6396,71.4709
4190.4056,2.6249,70.8874
4190.558,2.5984,67.2471
4190.7104,2.5851,63.3681
4190.8628,2.5909,61.1591
4191.0152,2.6125,60.6776
4191.1676,2.6463,62.1845
4191.32,2.6633,64.7335
4191.4724,2.659,66.3144
4191.6248,2.6436,66.4009
4191.7772,2.6206,65.3014
4191.9296,2.6101,63.0058
4192.082,2.6152,60.3996
4192.2344,2.6314,58.7974
4192.3868,2.6544,58.3533
4192.5392,2.6651,58.6088
4192.6916,2.6646,59.5106
4192.844,2.6638,61.1714
4192.9964,2.6617,63.2421
4193.1488,2.6575,65.1176
4193.3012,2.6499,66.3627
4193.4536,2.6355,66.4708
4193.606,2.6191,65.2395
4193.7584,2.6125,63.095
4193.9108,2.6142,60.9276
4194.0632,2.6186,59.8656
4194.2156,2.625,60.0258
4194.368,2.6301,60.5177
4194.5204,2.6341,60.9354
4194.6728,2.6376,61.249
4194.8252,2.6429,61.4148
4194.9776,2.6543,61.5046
4195.13,2.6642,61.2422
4195.2824,2.6612,60.3573
4195.4348,2.6535,59.4185
4195.5872,2.6524,59.753
4195.7396,2.6533,61.9945
4195.892,2.6507,64.7706
4196.0444,2.6422,66.2275
4196.1968,2.6254,65.9892
4196.3492,2.6101,64.7312
4196.5016,2.6089,63.313
4196.654,2.614,62.17
4196.8064,2.621,60.9763
4196.9588,2.6317,59.8054
4197.1112,2.6495,59.3366
4197.2636,2.6643,59.5501
4197.416,2.6669,59.9011
4197.5684,2.6647,59.9226
4197.7208,2.6626,59.5364
4197.8732,2.6652,59.3781
4198.0256,2.6767,59.8798
4198.178,2.6846,61.0375
4198.3304,2.6785,62.9442
4198.4828,2.6655,64.7726
4198.6352,2.6465,65.2146
4198.7876,2.6336,64.147
4198.94,2.6351,62.6548
4199.0924,2.6404,62.4612
4199.2448,2.645,64.1109
4199.3972,2.6413,66.2792
4199.5496,2.6226,67.7453
4199.702,2.6079,67.2948
4199.8544,2.6078,64.4788
4200.0068,2.6117,60.6918
4200.1592,2.6197,56.8829
4200.3116,2.6307,53.6487
4200.464,2.6459,51.8974
4200.6164,2.653,51.8164
4200.7688,2.6451,53.4566
4200.9212,2.6401,56.5814
4201.0736,2.6436,60.1556
4201.226,2.6508,63.555
4201.3784,2.6614,66.8502
4201.5308,2.6604,69.6002
4201.6832,2.6373,71.1146
4201.8356,2.5958,71.3572
4201.988,2.5287,71.0156
4202.1404,2.509,70.9349
4202.2928,2.5687,70.9523
4202.4452,2.6014,69.9692
4202.5976,2.5889,68.3214
4202.75,2.5828,67.6616
4202.9024,2.5864,68.1323
4203.0548,2.5805,68.7263
4203.2072,2.5599,68.9971
4203.3596,2.5512,69.012
4203.512,2.5638,68.9345
4203.6644,2.5805,68.7425
4203.8168,2.6034,68.2659
4203.9692,2.6164,67.4963
4204.1216,2.613,66.6244
4204.274,2.6154,66.13
4204.4264,2.6274,66.8003
4204.5788,2.6345,68.7649
4204.7312,2.6334,71.0979
4204.8836,2.6308,72.6897
4205.036,2.6246,72.9544
4205.1884,2.6075,72.343
4205.3408,2.5733,71.8492
4205.4932,2.5544,71.568
4205.6456,2.5601,70.6227
4205.798,2.5681,68.645
4205.9504,2.5794,66.5199
4206.1028,2.5824,65.5902
4206.2552,2.5738,66.5261
4206.4076,2.5853,68.7237
4206.56,2.6264,70.7291
4206.7124,2.6438,71.3881
4206.8648,2.6228,70.7959
4207.0172,2.6027,70.1926
4207.1696,2.5846,70.4528
4207.322,2.5758,70.8762
4207.4744,2.5823,70.2301
4207.6268,2.5881,68.4474
4207.7792,2.5923,66.2798
4207.9316,2.5949,64.3457
4208.084,2.595,63.2215
4208.2364,2.6013,63.3603
4208.3888,2.6181,64.6352
4208.5412,2.636,66.2182
